"This the the original data from Richard P. Rumelt, Strategy, Structure, and Economic Performance,",,,,,,,
"updated to extend to 1974. The rank column shows ranks in only 1949,1959, 1969,and 1974. ",,,,,,,
"The 1949 ranks are exact for 1-99, 100-200 are marked 200, and 300-500 are marked 500.",,,,,,,
"In500  = 1 when the firm was in the top 500, and 0 when it was smaller than that. ",,,,,,,
Data begins and ends in 1949 and 1974 unless the firm was formed after 1949 and/or was acquired or otherwise disappeared before 1974.,,,,,,,
Change the extension to CSV to open as a spreadsheet.,,,,,,,

Name,Symbol,SIC,Year,In 500,Rank,Strategy,Structure
BORG-WARNER CORP,BOR,3714,1973,1,--,RL,PD
BORG-WARNER CORP,BOR,3714,1974,1,108,RL,PD
BRISTOL-MEYERS CO,BMY,2836,1949,1,500,RC,PD
BRISTOL-MEYERS CO,BMY,2836,1950,1,--,RC,PD
BRISTOL-MEYERS CO,BMY,2836,1951,1,--,RC,PD
BRISTOL-MEYERS CO,BMY,2836,1952,1,--,RC,PD
BRISTOL-MEYERS CO,BMY,2836,1953,1,--,RC,PD
BRISTOL-MEYERS CO,BMY,2836,1954,1,--,RC,PD
BRISTOL-MEYERS CO,BMY,2836,1955,1,--,RC,PD
BRISTOL-MEYERS CO,BMY,2836,1956,1,--,RC,PD
BRISTOL-MEYERS CO,BMY,2836,1957,1,--,RC,PD
BRISTOL-MEYERS CO,BMY,2836,1958,1,--,RC,PD
BRISTOL-MEYERS CO,BMY,2836,1959,1,307,RC,PD
BRISTOL-MEYERS CO,BMY,2836,1960,1,--,RC,PD
BRISTOL-MEYERS CO,BMY,2836,1961,1,--,RC,PD
BRISTOL-MEYERS CO,BMY,2836,1962,1,--,RC,PD
BRISTOL-MEYERS CO,BMY,2836,1963,1,--,RC,PD
BRISTOL-MEYERS CO,BMY,2836,1964,1,--,RC,PD
BRISTOL-MEYERS CO,BMY,2836,1965,1,--,RC,PD
BRISTOL-MEYERS CO,BMY,2836,1966,1,--,RC,PD
BRISTOL-MEYERS CO,BMY,2836,1967,1,--,RC,PD
BRISTOL-MEYERS CO,BMY,2836,1968,1,--,RC,PD
BRISTOL-MEYERS CO,BMY,2836,1969,1,123,RC,PD
BRISTOL-MEYERS CO,BMY,2836,1970,1,--,RC,PD
BRISTOL-MEYERS CO,BMY,2836,1971,1,--,RC,PD
