category,order,title,authors,year,journal,description,file,bib,bib-type,web-link
interviews,2,Outthinker's Podcast,Kaihan Krippendorff & Richard P. Rumelt,2023,Podcast Interview,Concept of the Crux; Elon Musk; Integration vs de-integration,Interviews\Interview_Transcript_Kaihan_Krippendorff_Richard_Rumelt.pdf,"Krippendorff, Kaihan (2023). ""#46”Richard Rumelt: Finding the Crux of Your Strategy."" Outthinker Podcast (Outthinker Networks).",Interviews & Podcasts,
cases,2,Note on 3D Graphics Technology,Richard P. Rumelt,2004,Unpublished teaching case,Development of 3D graphics tech through 2001,cases/Note on 3D Graphics Technology.pdf,"Rumelt, Richard P. ""Note on 3D Graphics Technology."" Unpublished teaching case, 2004.",Cases and Teaching Notes,
cases,3,The Last Mile 2002,Richard P. Rumelt,2004,Unpublished teaching case,The battle between DSL and cable in 2002,cases/The Last Mile_2002.pdf,"Rumelt, Richard P. ""The Last Mile 2002."" Unpublished teaching case, 2004.",Cases and Teaching Notes,
cases,4,The Integrated Circuit Industry in 2003,Richard P. Rumelt,2003,Unpublished teaching case,When will Moore's Law hit the wall? ,cases/The Integrated Circuit Industry in 2003.pdf,"Rumelt, Richard P. ""The Integrated Circuit Industry in 2003."" Unpublished teaching case, 2003.",Cases and Teaching Notes,
cases,5,Global Crossing (A),Richard P. Rumelt,2002,Unpublished teaching case,Buiolding the first private trans-Atlantic fiber optic cable,cases/GlobalCrossing_A.pdf,"Rumelt, Richard P. ""Global Crossing (A)."" Unpublished teaching case, 2002.",Cases and Teaching Notes,
cases,6,Global Crossing (B),Richard P. Rumelt,2002,Unpublished teaching case,Price competition arises in Internat traffic,cases/Global Crossing-B.pdf,"Rumelt, Richard P. ""Global Crossing (B)."" Unpublished teaching case, 2002.",Cases and Teaching Notes,
cases,1,NVIDIA Corporation in 2001,Richard P. Rumelt,2002,Unpublished teaching case,NVIDIA's strategy for 3D graphics dominance,cases/NVIDIA Corporation In 2001.pdf,"Rumelt, Richard P. ""NVIDIA Corporation in 2001."" Unpublished teaching case, 2002.",Cases and Teaching Notes,
cases,7,Visicorp 1978-1984,Richard P. Rumelt,1985,Unpublished teaching case,Visicorp and Software Arts tangle,cases/Visicorp 1978-1984.pdf,"Rumelt, Richard P. ""Visicorp 1978-1984."" Unpublished teaching case, 1985.",Cases and Teaching Notes,
cases,8,Semiconductor Technology and Moore's Law,Richard P. Rumelt,2002,Unpublished teaching case,Overview of semiconductor tech in 2002,cases/SemiConductorTechandMooresLaw.pdf,"Rumelt, Richard P. ""Semiconductor Technology and Moore's Law."" Unpublished teaching case, 2002.",Cases and Teaching Notes,
cases,9,MicroChipper,Richard P. Rumelt,2000,Unpublished teaching case,Semiconductor design issue for a chip company,cases/MicroChipper.pdf,"Rumelt, Richard P. ""MicroChipper."" Unpublished teaching case, 2000.",Cases and Teaching Notes,
cases,10,Starbucks 2000,David Kirsch & Richard P. Rumelt,2000,Unpublished teaching case,"Coffee quality vs the ""Starbucks Experience""",cases/Starbucks 2000.pdf,"Kirsch, David, and Richard P. Rumelt. ""Starbucks 2000."" Unpublished teaching case, 2000.",Cases and Teaching Notes,
cases,11,Teaching Note: Music Industry in the Digital Age,David Kirsch & Richard P. Rumelt,2000,Unpublished teaching case,,cases/Teaching Note for Music Industry in Digital Age.pdf,"Kirsch, David, and Richard P. Rumelt. ""Teaching Note: Music Industry in the Digital Age."" Unpublished teaching case, 2000.",Cases and Teaching Notes,
cases,12,The Music Industry in the Digital Age,David Kirsch & Richard P. Rumelt,2000,Unpublished teaching case,The mp3 Napster revolution,cases/The Music Industry in the Digital Age.pdf,"Kirsch, David, and Richard P. Rumelt. ""The Music Industry in the Digital Age."" Unpublished teaching case, 2000.",Cases and Teaching Notes,
cases,13,The Microsoftware Industry 1984,Richard P. Rumelt,1985,Unpublished teaching case,The early micomputer software industry,cases/TheMicrosoftwareIndustry1984.pdf,"Rumelt, Richard P. ""The Microsoftware Industry 1984."" Unpublished teaching case, 1985.",Cases and Teaching Notes,
cases,14,Baroumand Designs (A&B),Richard P. Rumelt,1974,Unpublished teaching case,Iran entrepreneur's leather design business,cases/Baroumand Designs (A&B).pdf,"Rumelt, Richard P. ""Baroumand Designs (A&B)."" Unpublished teaching case, 1974.",Cases and Teaching Notes,
cases,15,Eagle Flask Company,Richard P. Rumelt,1974,Unpublished teaching case,Iranian vacuum flask maker faces Chinese competition,cases/Eagle Flask Company.pdf,"Rumelt, Richard P. ""Eagle Flask Company."" Unpublished teaching case, 1974.",Cases and Teaching Notes,
cases,16,Rank Xerox Iran,Richard P. Rumelt,1974,Unpublished teaching case,Iranian branch of UK company,cases/Rank Xerox Iran.pdf,"Rumelt, Richard P. ""Rank Xerox Iran."" Unpublished teaching case, 1974.",Cases and Teaching Notes,
cases,17,The Industrial and Mining Development Bank of Iran (A),Richard P. Rumelt,1974,Unpublished teaching case,Iranian development bank strategy,cases/The Industrial and Mining Development Bank of Iran (A).pdf,"Rumelt, Richard P. ""The Industrial and Mining Development Bank of Iran (A)."" Unpublished teaching case, 1974.",Cases and Teaching Notes,
cases,18,Fansteel,Richard P. Rumelt,1967,Unpublished teaching case,Strategy of bundling 8 aerospace metal fabricators as a contractor hub,cases/Fansteel.pdf,"Rumelt, Richard P. ""Fansteel."" Unpublished teaching case, 1967.",Cases and Teaching Notes,
cases,19,Fansteel Teaching Notes,Richard P. Rumelt,1967,Unpublished teaching case,Casewriter notes on Fansteel,cases/Fansteel Teaching Notes.pdf,"Rumelt, Richard P. ""Fansteel Teaching Notes."" Unpublished teaching case, 1967.",Cases and Teaching Notes,
panel_of_experts,1,Abraham Lincoln,Richard P. Rumelt,2026,Unpublished teaching case,,Panel_of_Experts/Abraham Lincoln.pdf,"Rumelt, Richard P. ""Abraham Lincoln."" Unpublished teaching case, 2026.",Panel of Experts,
panel_of_experts,2,Alfred Sloan,Richard P. Rumelt,2026,Unpublished teaching case,,Panel_of_Experts/Alfred Sloan.pdf,"Rumelt, Richard P. ""Alfred Sloan."" Unpublished teaching case, 2026.",Panel of Experts,
panel_of_experts,3,Ken Iverson,Richard P. Rumelt,2026,Unpublished teaching case,,Panel_of_Experts/Ken Iverson.pdf,"Rumelt, Richard P. ""Ken Iverson."" Unpublished teaching case, 2026.",Panel of Experts,
panel_of_experts,4,Michael Eisner,Richard P. Rumelt,2026,Unpublished teaching case,,Panel_of_Experts/Michael Eisner.pdf,"Rumelt, Richard P. ""Michael Eisner."" Unpublished teaching case, 2026.",Panel of Experts,
panel_of_experts,5,Taiichi Ohno,Richard P. Rumelt,2026,Unpublished teaching case,,Panel_of_Experts/Taiichi Ohno.pdf,"Rumelt, Richard P. ""Taiichi Ohno."" Unpublished teaching case, 2026.",Panel of Experts,
tech_notes,1,Margins Markups & Breakevens,Richard P. Rumelt,2010,Unpublished technical note,Introduction to profitability analysis,Technical_Notes/Margins Markups & Breakevens.pdf,"Rumelt, Richard P. ""Margins Markups & Breakevens."" Unpublished technical note, 2010.",Technical Analysis Notes,
tech_notes,2,Restructuring Financial Statements,Richard P. Rumelt,2010,Unpublished technical note,"Creating internally consistent definitions of invested capital, free cash flow, and the cost of capital.",Technical_Notes/Restructuring Financial Statements.pdf,"Rumelt, Richard P. ""Restructuring Financial Statements."" Unpublished technical note, 2010.",Technical Analysis Notes,
tech_notes,3,Depreciation & Taxes,Richard P. Rumelt,2010,Unpublished technical note,"Corporate taxes are levied on ""income,"" not cash flow, and the definition of ""income"" is subject to a great many rules.",Technical_Notes/Depreciation&Taxes.pdf,"Rumelt, Richard P. ""Depreciation & Taxes."" Unpublished technical note, 2010.",Technical Analysis Notes,
tech_notes,4,Strategic Cost Considerations,Richard P. Rumelt,2010,Unpublished technical note,"Reviews the concepts of economies of scale, economies of scope, and learning-by-doing.",Technical_Notes/Strategic Cost Considerations.pdf,"Rumelt, Richard P. ""Strategic Cost Considerations."" Unpublished technical note, 2010.",Technical Analysis Notes,
tech_notes,5,Cost Value and Time,Richard P. Rumelt,2010,Unpublished technical note,Every MBA is expected to be skilled at basic machinery of discounting and present values,Technical_Notes/Cost Value and Time.pdf,"Rumelt, Richard P. ""Cost Value and Time."" Unpublished technical note, 2010.",Technical Analysis Notes,
tech_notes,6,Bargaining & Splits,Richard P. Rumelt,2010,Unpublished technical note,BATNA and Shapley Values in bargaining analysis,Technical_Notes/Bargaining & Splits.pdf,"Rumelt, Richard P. ""Bargaining & Splits."" Unpublished technical note, 2010.",Technical Analysis Notes,
tech_notes,7,Valuation Models,Richard P. Rumelt,2010,Unpublished technical note,Models of patterns of future cash flows,Technical_Notes/Valuation Models.pdf,"Rumelt, Richard P. ""Valuation Models."" Unpublished technical note, 2010.",Technical Analysis Notes,
tech_notes,8,Value and Debt,Richard P. Rumelt,2010,Unpublished technical note,Accounting for debt with an adjusted present value model,Technical_Notes/Value and Debt.pdf,"Rumelt, Richard P. ""Value and Debt."" Unpublished technical note, 2010.",Technical Analysis Notes,
tech_notes,9,The Diffusion of Innovations,Richard P. Rumelt,2010,Unpublished technical note,Sigmoid growth models,Technical_Notes/The Diffusion of Innovations.pdf,"Rumelt, Richard P. ""The Diffusion of Innovations."" Unpublished technical note, 2010.",Technical Analysis Notes,
tech_notes,10,MNL Market Share Models,Richard P. Rumelt,2010,Unpublished technical note,Multinomial-logit models of market shares,Technical_Notes/MNL MarketShareModels.pdf,"Rumelt, Richard P. ""MNL Market Share Models."" Unpublished technical note, 2010.",Technical Analysis Notes,
tech_notes,11,MNL Nash Competition,Richard P. Rumelt,2010,Unpublished technical note,Nash equilibrium for MNL Competitors,Technical_Notes/MNL Nash Competition.pdf,"Rumelt, Richard P. ""MNL Nash Competition."" Unpublished technical note, 2010.",Technical Analysis Notes,
tech_notes,12,Diffusion & Sigmoid Growth,Richard P. Rumelt,2010,Unpublished technical note,Modeling  how innovation diffuses through a population,Technical_Notes/Diffusion&SigmoidGrowth.pdf,"Rumelt, Richard P. ""Diffusion & Sigmoid Growth."" Unpublished technical note, 2010.",Technical Analysis Notes,
tech_notes,13,Units & Units Conversion,Richard P. Rumelt,2010,Unpublished technical note,Working accurately with numbers often involves paying careful attention to the units of measurement,Technical_Notes/Units & Units Conversion.pdf,"Rumelt, Richard P. ""Units & Units Conversion."" Unpublished technical note, 2010.",Technical Analysis Notes,
tech_notes,14,Growth Rates,Richard P. Rumelt,2010,Unpublished technical note,Estimating rates of growth from data,Technical_Notes/GrowthRates.pdf,"Rumelt, Richard P. ""Growth Rates."" Unpublished technical note, 2010.",Technical Analysis Notes,
tech_notes,15,PV Formulae,Richard P. Rumelt,2010,Unpublished technical note,Formulae for annuity and growing payment streams,Technical_Notes/PVFormulae.pdf,"Rumelt, Richard P. ""PV Formulae."" Unpublished technical note, 2010.",Technical Analysis Notes,
tech_notes,16,Valuing & Comparing Patterns of Payments,Richard P. Rumelt,2010,Unpublished technical note,"Dealing with financing expenses, capital investment, taxes, depreciation, and terminal values",Technical_Notes/Valuing & Comparing Patterns of Payments.pdf,"Rumelt, Richard P. ""Valuing & Comparing Patterns of Payments."" Unpublished technical note, 2010.",Technical Analysis Notes,
substack,,Stolen Credibility,Richard P. Rumelt,24-Feb-26,The Rumelt Perspectives,"A strategic look at AI-generated financial commentary and deepfake authority. As the cost of producing convincing expert content collapses, the credibility of institutions and public figures becomes easier to exploit.",blogs/Substack/Stolen Credibility - by Richard Rumelt.pdf,"Rumelt, Richard P. ""Stolen Credibility."" The Rumelt Perspectives (blog), February 24, 2026. https://rumelt.substack.com/p/stolen-credibility",Substack Blog Posts,https://rumelt.substack.com/p/stolen-credibility
substack,,The Amelia Paradox,Richard P. Rumelt,17-Feb-26,The Rumelt Perspectives,"An examination of how digital audiences can repurpose institutional narratives. A character designed to discourage extremist views is captured by online communities and turned into a viral meme, illustrating how control of meaning is lost in networked media.",blogs/Substack/The Amelia Paradox - by Richard Rumelt.pdf,"Rumelt, Richard P. ""The Amelia Paradox."" The Rumelt Perspectives (blog), February 17, 2026. https://rumelt.substack.com/p/the-amelia-paradox",Substack Blog Posts,https://rumelt.substack.com/p/the-amelia-paradox
substack,,Tesla's Honorable Discharge,Richard P. Rumelt,31-Jan-26,The Rumelt Perspectives,"A strategic interpretation of Tesla's quiet retreat from the Model S and Model X. The essay explores how companies sometimes ""honorably discharge"" legacy products that no longer fit the economic logic of the firm.",blogs/Substack/Tesla's Honorable Discharge - by Richard Rumelt.pdf,"Rumelt, Richard P. ""Tesla's Honorable Discharge."" The Rumelt Perspectives (blog), January 31, 2026. https://rumelt.substack.com/p/teslas-honorable-discharge",Substack Blog Posts,https://rumelt.substack.com/p/teslas-honorable-discharge
